ZO,RO,Vertical,Crop,Hybrid,Crop Grp,Source,FYPQ,FYPV,CMPQ,CMPV,CM Est 1,CM Est 2,CME,CMINVQ,CMINVV,CMPOGQ,CMPOGV,CM NRV,YTDPOGQ,YTDPOGV,YTDLMPOGQ,YTDLMPOGV,YTDLMPQ,YTDLMPV,STKQ,STKV,STK,YTDINVQ,YTDINVV,OPBALQ,PRPOGQ,PRPOGV,CMP,CMPOG,YTDPQ,YTDPV,YTDP,YTDPOG,YTDLMPOG,YTDLMP,CMRET,YTDRET,CMRETQ,CMRETV,YTDRETQ,YTDRETV,Divisions,H1PQ,Segment,Dashboard,Veg. Crop,H1PV,CMEV,LM Difference,Genetics,LYP,LYPQ,LYPV,LYPOG,LYPOGQ,LYPOGV,NMPQ,NMPV,NMP,Plan NRV,OpBR,OpBR180,COL
INDORE,AURANGABAD C,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,8.4,,ALL,,,,,,,,,,,,,
HYDERABAD,HUBLI C,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,3.67,,ALL,,,,,,,,,,,,,
HYDERABAD,HUBLI F,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,1,,ALL,,,,,,,,,,,,,
INDORE,NAGPUR,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
INDORE,NASHIK F,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,10,,ALL,,,,,,,,,,,,,
INDORE,NASHIK V,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,1.4,,ALL,,,,,,,,,,,,,
RANCHI,AMBIKAPUR,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
HYDERABAD,COIMBATORE,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
HYDERABAD,GUNTUR,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
HYDERABAD,HYDERABAD C,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
HYDERABAD,HYDERABAD F,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
HYDERABAD,NIRMAL,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
HYDERABAD,WARANGAL,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
INDORE,BHOPAL,FIELD CROPS,BAJRA,ALL,BAJRA,MCF,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADE,,TRADE,Main,,,0,,ALL,,,,,,,,,,,,,
